title,artist,genre,mood,energy,language,link
Jab Tak,Armaan Malik,Pop,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Jab+Tak+Armaan+Malik
Bol Do Na Zara,Armaan Malik,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Bol+Do+Na+Zara+Armaan+Malik
Kaise Hua,Vishal Mishra,Romantic,Romantic,High,Hindi,https://www.youtube.com/results?search_query=Kaise+Hua+Vishal+Mishra
Pehle Bhi Main,Vishal Mishra,Indie,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Pehle+Bhi+Main+Vishal+Mishra
Zihaal-e-Miskin,Vishal Mishra,Sad,Sad,Medium,Hindi,https://www.youtube.com/results?search_query=Zihaal+e+Miskin+Vishal+Mishra
Abhi Mujh Mein Kahin,Sonu Nigam,Bollywood,Sad,Medium,Hindi,https://www.youtube.com/results?search_query=Abhi+Mujh+Mein+Kahin+Sonu+Nigam
Kal Ho Naa Ho,Sonu Nigam,Bollywood,Sad,High,Hindi,https://www.youtube.com/results?search_query=Kal+Ho+Naa+Ho+Sonu+Nigam
Main Agar Kahoon,Sonu Nigam,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Main+Agar+Kahoon+Sonu+Nigam
Sandese Aate Hain,Sonu Nigam,Bollywood,Motivated,High,Hindi,https://www.youtube.com/results?search_query=Sandese+Aate+Hain+Sonu+Nigam
Zara Sa,KK,Romantic,Romantic,High,Hindi,https://www.youtube.com/results?search_query=Zara+Sa+KK
Tu Hi Meri Shab Hai,KK,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Tu+Hi+Meri+Shab+Hai+KK
Dil Ibaadat,KK,Romantic,Heartbreak,High,Hindi,https://www.youtube.com/results?search_query=Dil+Ibaadat+KK
Yaaron,KK,Pop,Happy,Medium,Hindi,https://www.youtube.com/results?search_query=Yaaron+KK
Tadap Tadap,KK,Sad,Heartbreak,High,Hindi,https://www.youtube.com/results?search_query=Tadap+Tadap+KK
Tera Hone Laga Hoon,Atif Aslam,Romantic,Romantic,High,Hindi,https://www.youtube.com/results?search_query=Tera+Hone+Laga+Hoon+Atif+Aslam
Tu Jaane Na,Atif Aslam,Sad,Heartbreak,Medium,Hindi,https://www.youtube.com/results?search_query=Tu+Jaane+Na+Atif+Aslam
Jeena Jeena,Atif Aslam,Romantic,Peaceful,Low,Hindi,https://www.youtube.com/results?search_query=Jeena+Jeena+Atif+Aslam
Pehli Nazar Mein,Atif Aslam,Romantic,Romantic,High,Hindi,https://www.youtube.com/results?search_query=Pehli+Nazar+Mein+Atif+Aslam
Dil Diyan Gallan,Atif Aslam,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Dil+Diyan+Gallan+Atif+Aslam
Tum Se Hi,Mohit Chauhan,Romantic,Chill,Medium,Hindi,https://www.youtube.com/results?search_query=Tum+Se+Hi+Mohit+Chauhan
Kun Faya Kun,Mohit Chauhan,Classical,Peaceful,Low,Hindi,https://www.youtube.com/results?search_query=Kun+Faya+Kun+Mohit+Chauhan
Nadaan Parindey,Mohit Chauhan,Bollywood,Motivated,High,Hindi,https://www.youtube.com/results?search_query=Nadaan+Parindey+Mohit+Chauhan
Matargashti,Mohit Chauhan,Pop,Happy,High,Hindi,https://www.youtube.com/results?search_query=Matargashti+Mohit+Chauhan
Mile Ho Tum,Neha Kakkar,Romantic,Romantic,Low,Hindi,https://www.youtube.com/results?search_query=Mile+Ho+Tum+Neha+Kakkar
Dilbar,Neha Kakkar,Party,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Dilbar+Neha+Kakkar
O Saki Saki,Neha Kakkar,Party,Energetic,High,Hindi,https://www.youtube.com/results?search_query=O+Saki+Saki+Neha+Kakkar
Kala Chashma,Neha Kakkar,Party,Party,High,Hindi,https://www.youtube.com/results?search_query=Kala+Chashma+Neha+Kakkar
Tera Zikr,Darshan Raval,Pop,Heartbreak,Medium,Hindi,https://www.youtube.com/results?search_query=Tera+Zikr+Darshan+Raval
Ek Tarfa,Darshan Raval,Sad,Heartbreak,Medium,Hindi,https://www.youtube.com/results?search_query=Ek+Tarfa+Darshan+Raval
Chogada,Darshan Raval,Party,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Chogada+Darshan+Raval
Asal Mein,Darshan Raval,Sad,Sad,Low,Hindi,https://www.youtube.com/results?search_query=Asal+Mein+Darshan+Raval
Iktara,Amit Trivedi,Indie,Peaceful,Low,Hindi,https://www.youtube.com/results?search_query=Iktara+Amit+Trivedi
Namo Namo,Amit Trivedi,Bollywood,Peaceful,High,Hindi,https://www.youtube.com/results?search_query=Namo+Namo+Amit+Trivedi
Love You Zindagi,Amit Trivedi,Pop,Happy,High,Hindi,https://www.youtube.com/results?search_query=Love+You+Zindagi+Amit+Trivedi
Sham,Amit Trivedi,Indie,Chill,Low,Hindi,https://www.youtube.com/results?search_query=Sham+Amit+Trivedi
Subhanallah,Pritam,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Subhanallah+Pritam
Balam Pichkari,Pritam,Party,Party,High,Hindi,https://www.youtube.com/results?search_query=Balam+Pichkari+Pritam
Badtameez Dil,Pritam,Party,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Badtameez+Dil+Pritam
Illahi,Pritam,Pop,Motivated,High,Hindi,https://www.youtube.com/results?search_query=Illahi+Pritam
Jai Ho,A.R. Rahman,Bollywood,Motivated,High,Hindi,https://www.youtube.com/results?search_query=Jai+Ho+AR+Rahman
Tere Bina,A.R. Rahman,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Tere+Bina+AR+Rahman
Luka Chuppi,A.R. Rahman,Sad,Sad,Low,Hindi,https://www.youtube.com/results?search_query=Luka+Chuppi+AR+Rahman
Khwaja Mere Khwaja,A.R. Rahman,Classical,Peaceful,Low,Hindi,https://www.youtube.com/results?search_query=Khwaja+Mere+Khwaja+AR+Rahman
Ranjhanaa Title Track,A.R. Rahman,Bollywood,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Ranjhanaa+Title+Track+AR+Rahman
Kamli,Sunidhi Chauhan,Party,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Kamli+Sunidhi+Chauhan
Sheila Ki Jawani,Sunidhi Chauhan,Party,Party,High,Hindi,https://www.youtube.com/results?search_query=Sheila+Ki+Jawani+Sunidhi+Chauhan
Beedi Jalaile,Sunidhi Chauhan,Bollywood,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Beedi+Jalaile+Sunidhi+Chauhan
Crazy Kiya Re,Sunidhi Chauhan,Pop,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Crazy+Kiya+Re+Sunidhi+Chauhan
Kaun Tujhe,Palak Muchhal,Romantic,Peaceful,Low,Hindi,https://www.youtube.com/results?search_query=Kaun+Tujhe+Palak+Muchhal
Prem Ratan Dhan Payo,Palak Muchhal,Bollywood,Happy,High,Hindi,https://www.youtube.com/results?search_query=Prem+Ratan+Dhan+Payo+Palak+Muchhal
Chaha Hai Tujhko,Palak Muchhal,Sad,Sad,Medium,Hindi,https://www.youtube.com/results?search_query=Chaha+Hai+Tujhko+Palak+Muchhal
Hum Mar Jayenge,Palak Muchhal,Romantic,Heartbreak,Medium,Hindi,https://www.youtube.com/results?search_query=Hum+Mar+Jayenge+Palak+Muchhal
Soch Na Sake,Tulsi Kumar,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Soch+Na+Sake+Tulsi+Kumar
Sanam Re,Tulsi Kumar,Romantic,Heartbreak,Medium,Hindi,https://www.youtube.com/results?search_query=Sanam+Re+Tulsi+Kumar
Tera Ban Jaunga,Tulsi Kumar,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Tera+Ban+Jaunga+Tulsi+Kumar
Enni Soni,Tulsi Kumar,Pop,Romantic,High,Hindi,https://www.youtube.com/results?search_query=Enni+Soni+Tulsi+Kumar
Teri Mitti,B Praak,Bollywood,Motivated,High,Hindi,https://www.youtube.com/results?search_query=Teri+Mitti+B+Praak
Filhall,B Praak,Punjabi,Heartbreak,Medium,Hindi,https://www.youtube.com/results?search_query=Filhall+B+Praak
Mann Bharryaa 2.0,B Praak,Sad,Heartbreak,High,Hindi,https://www.youtube.com/results?search_query=Mann+Bharryaa+B+Praak
Baarish Ki Jaaye,B Praak,Punjabi,Sad,Medium,Hindi,https://www.youtube.com/results?search_query=Baarish+Ki+Jaaye+B+Praak
Bekhayali,Sachet Tandon,Bollywood,Heartbreak,High,Hindi,https://www.youtube.com/results?search_query=Bekhayali+Sachet+Tandon
Maiyya Mainu,Sachet Tandon,Romantic,Happy,Medium,Hindi,https://www.youtube.com/results?search_query=Maiyya+Mainu+Sachet+Tandon
Mere Sohneya,Sachet Tandon,Romantic,Romantic,Medium,Hindi,https://www.youtube.com/results?search_query=Mere+Sohneya+Sachet+Tandon
Humraah,Sachet Tandon,Pop,Chill,Medium,Hindi,https://www.youtube.com/results?search_query=Humraah+Sachet+Tandon
Ram Siya Ram,Sachet-Parampara,Classical,Peaceful,Medium,Hindi,https://www.youtube.com/results?search_query=Ram+Siya+Ram+Sachet+Parampara
Malang Title Track,Parampara Tandon,Pop,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Malang+Title+Track+Parampara+Tandon
Swag Se Swagat,Vishal Dadlani,Party,Party,High,Hindi,https://www.youtube.com/results?search_query=Swag+Se+Swagat+Vishal+Dadlani
Ghungroo,Vishal Dadlani,Party,Happy,High,Hindi,https://www.youtube.com/results?search_query=Ghungroo+Vishal+Dadlani
Malhari,Vishal Dadlani,Bollywood,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Malhari+Vishal+Dadlani
Nashe Si Chhad Gayi,Arijit Singh,Pop,Chill,High,Hindi,https://www.youtube.com/results?search_query=Nashe+Si+Chhad+Gayi
Radha,Shekhar Ravjiani,Party,Happy,High,Hindi,https://www.youtube.com/results?search_query=Radha+Student+of+the+year
Ishq Wala Love,Shekhar Ravjiani,Romantic,Chill,Low,Hindi,https://www.youtube.com/results?search_query=Ishq+Wala+Love
Hook Deora,Shekhar Ravjiani,Party,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Hook+Deora
DJ Waley Babu,Badshah,Party,Party,High,Hindi,https://www.youtube.com/results?search_query=DJ+Waley+Babu+Badshah
Garmi,Badshah,Party,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Garmi+Badshah
Genda Phool,Badshah,Pop,Happy,High,Hindi,https://www.youtube.com/results?search_query=Genda+Phool+Badshah
Jugnu,Badshah,Pop,Chill,Medium,Hindi,https://www.youtube.com/results?search_query=Jugnu+Badshah
Lover,Diljit Dosanjh,Pop,Happy,High,Hindi,https://www.youtube.com/results?search_query=Lover+Diljit+Dosanjh
Born to Shine,Diljit Dosanjh,Punjabi,Motivated,High,Hindi,https://www.youtube.com/results?search_query=Born+to+Shine+Diljit+Dosanjh
Lemonade,Diljit Dosanjh,Punjabi,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Lemonade+Diljit+Dosanjh
Naina (Crew),Diljit Dosanjh,Pop,Chill,Medium,Hindi,https://www.youtube.com/results?search_query=Naina+Diljit+Dosanjh+Crew
Kar Gayi Chull,Badshah,Party,Energetic,High,Hindi,https://www.youtube.com/results?search_query=Kar+Gayi+Chull+Badshah
Phir Le Aya Dil,Arijit Singh,Classical,Peaceful,Low,Hindi,https://www.youtube.com/results?search_query=Phir+Le+Aya+Dil+Arijit+Singh
Mast Magan,Arijit Singh,Romantic,Peaceful,Medium,Hindi,https://www.youtube.com/results?search_query=Mast+Magan+Arijit+Singh
Hawayein,Arijit Singh,Pop,Chill,Medium,Hindi,https://www.youtube.com/results?search_query=Hawayein+Arijit+Singh
Pashmina,Amit Trivedi,Indie,Peaceful,Low,Hindi,https://www.youtube.com/results?search_query=Pashmina+Amit+Trivedi
